ENSG00000000005;ENSG00000000457;ENSG00000000938;ENSG00000001036;ENSG00000001084;ENSG00000001167;ENSG00000001460;ENSG00000001461;Y
59;503;379;3804;2672;2939;1431;4618;1
0;1372;90;3375;2443;2402;813;2618;0
0;933;328;3528;1769;2012;920;4389;0
0;1265;353;5283;2080;2103;739;4050;0
3;1213;199;1851;2833;1555;472;4136;0
0;633;218;6408;1187;1309;411;1427;1
0;1003;429;3553;2254;1297;552;3655;0
41;799;215;3948;6997;2345;496;2243;1
6;767;285;3858;2086;1585;765;2273;1
4;1118;230;2975;903;2262;433;1868;1
0;893;162;1843;1158;2355;581;907;0
0;612;432;2296;2115;5925;1161;3159;1
0;1500;182;1530;1777;5067;814;1978;0
1305;809;715;4152;747;1575;606;1250;0
0;1155;222;2569;1120;1766;1011;9619;1
52;1065;251;3531;3644;2465;327;1070;0
6;949;176;2953;743;1327;1154;2787;0
0;909;185;1934;2285;1644;1896;4696;0
0;925;542;2538;1150;1257;1792;2727;1
22;773;268;2964;1499;2198;449;1100;0
37;974;210;6994;1458;2007;1124;2517;1
38;1296;173;5774;1917;3352;949;3531;1
9;943;74;3548;2644;2072;842;3290;0
9;1527;472;5229;3210;2004;531;1681;0
5;1044;177;1768;1670;1765;591;2575;0
2;984;282;4237;2193;1356;1181;3418;0
8;987;320;2312;884;2044;1417;2136;0
5;1060;339;3296;1440;1432;1037;7746;1
0;732;570;2800;1629;2877;509;1791;1
3;942;415;3517;1208;1461;955;3178;0
4;967;555;3052;1642;2307;362;1644;0
0;994;328;1909;1209;1773;442;2585;0
0;806;559;2853;2000;1709;765;2945;0
0;1101;554;3280;2056;3562;707;3536;0
0;1392;258;1566;1402;1720;706;2089;0
4;1333;304;1759;1162;2071;682;4817;0
0;1433;289;4073;1737;2087;590;1872;0
0;522;790;4626;1522;1660;515;3283;0
2;1342;212;2279;3282;2822;1256;4312;0
0;1558;136;4650;1686;1553;825;5794;0
6;1009;466;3145;2374;2279;245;1039;0
27;1464;68;2268;2354;5316;783;2398;0
0;999;113;2466;1318;2330;689;3899;1
61;1633;214;3559;4785;10299;654;1072;1
0;1210;230;2844;2822;4144;836;6453;0
6;1043;233;3873;1450;2223;1021;4158;1
3;775;217;2819;1088;1278;844;6152;1
0;1620;472;4260;2507;3284;808;2745;0
0;803;234;3212;1342;3518;757;2652;1
0;1271;129;1801;1914;4806;1636;4253;0
0;1226;101;2726;1972;2767;1006;3365;1
4;934;103;4524;3449;3260;654;1771;1
